simulated time	num cells	num division	num death	wall time
0	1	1	0	-9.6e-05
1	1	0	0	-4e-06
2	1	0	0	-1.6e-05
3	1	0	0	-4e-06
4	1	0	0	-5e-06
5	1	0	0	-5e-06
6	1	0	0	-4e-06
7	1	0	0	-5e-06
8	1	0	0	-1.1e-05
9	1	0	0	-5e-06
10	1	0	0	-5e-06
11	1	0	0	-1.9e-05
12	1	0	0	-4e-06
13	1	0	0	-7e-06
14	1	0	0	-4e-06
15	1	0	0	-1.2e-05
16	1	0	0	-4e-06
17	1	0	0	-4e-06
18	1	0	0	-5e-06
19	1	0	0	-1.6e-05
20	1	0	0	-5e-06
21	2	1	0	-6e-06
22	2	0	0	-4e-06
23	2	0	0	-5e-06
24	2	0	0	-5e-06
25	2	0	0	-3.4e-05
26	2	0	0	-5e-06
27	2	0	0	-5e-06
28	3	1	0	-4e-05
29	3	0	0	-4e-06
30	3	0	0	-3.6e-05
31	3	0	0	-4e-06
32	2	0	1	-4e-06
33	2	0	0	-4e-06
34	2	0	0	-4e-06
35	2	0	0	-5e-06
36	3	1	0	-4e-06
37	3	0	0	-4e-06
38	4	1	0	-1.8e-05
39	5	1	0	-6e-06
40	5	0	0	-4e-06
41	5	0	0	-3.1e-05
42	9	4	0	-1.9e-05
43	9	0	0	-5e-06
44	10	1	0	-5e-06
45	10	0	0	-4e-06
46	11	1	0	-5e-06
47	12	1	0	-4e-06
48	13	1	0	-5e-06
49	14	1	0	-4e-06
50	16	2	0	-4e-06
51	16	0	0	-4e-06
52	18	2	0	-6e-06
53	21	3	0	-4e-06
54	22	1	0	-4e-06
55	21	0	1	-2.9e-05
56	22	1	0	-5e-06
57	24	2	0	-2.9e-05
58	27	3	0	-5e-06
59	29	2	0	-4e-06
60	35	6	0	-5e-06
61	36	2	1	-5.7e-05
62	39	3	0	-5e-06
63	43	5	1	-4e-06
64	50	8	1	-4e-06
65	53	3	0	-5e-06
66	60	8	1	-4e-06
67	66	6	0	-4e-06
68	72	7	1	-7e-06
69	83	11	0	-4e-06
70	86	5	2	-4e-06
71	100	15	1	-3e-06
72	108	10	2	-5e-06
73	122	14	0	-4e-06
74	144	22	0	-4e-06
75	153	11	2	-4e-06
76	168	18	3	-7e-06
77	189	23	2	-4e-05
78	216	27	0	-4e-06
79	237	22	1	-4e-06
80	249	17	5	-4e-06
81	271	26	4	-4e-06
82	286	20	5	-1e-05
83	327	43	2	-5e-06
84	361	35	1	-4e-06
85	392	34	3	-4e-06
86	429	43	6	-6e-06
87	476	51	4	-1.9e-05
88	544	72	4	-5e-06
89	612	75	7	-3e-06
90	684	76	4	-4e-06
91	768	91	7	-4e-06
92	863	104	9	-1.9e-05
93	973	115	5	-4e-06
94	1089	129	13	-4e-06
95	1244	171	16	-3e-06
96	1412	179	11	-4e-06
97	1590	192	14	-4e-06
98	1778	206	18	-5e-06
99	1979	221	20	-4e-06
100	2196	244	27	-3e-06
100.01	2225	31	2	-3e-06
